"","District","Yr2005","Yr2006","Yr2007","Yr2008","Yr2009","Yr2010","Yr2011","Yr2012","NA"
"1","BAGALKOT",229,254.666666666667,264.666666666667,269.333333333333,277.333333333333,281,339.833333333333,290.666666666667,292.5
"2","BANGALORE RURAL",330,323.75,330,328.5,332.25,329.5,367.25,340.25,342.75
"3","BELGAUM",260,277.166666666667,269.166666666667,283,284.833333333333,291.166666666667,366.166666666667,303.833333333333,304.333333333333
"4","BELGAUM CHIKKODI",336.833333333333,358.166666666667,291,306.666666666667,320.5,323.833333333333,382.666666666667,327.833333333333,332.333333333333
"5","BELLARY",213.333333333333,224.166666666667,228,230.833333333333,232,240.166666666667,290.166666666667,246.333333333333,244.5
"6","BIDAR",262.2,290,321.6,335.8,358.2,376.8,471.2,399.4,413.8
"7","BIJAPUR",326.5,336.25,327,335.75,345,366,439,392.5,396
"8","CHAMARAJANAGARA",310,254,180,184.25,186,188.5,228.75,188.75,188.5
"9","CHIKKABALLAPURA",307.166666666667,295.333333333333,300,308.833333333333,311.666666666667,313.333333333333,357,320.666666666667,319.333333333333
"10","CHIKKAMANGALORE",252.571428571429,260.714285714286,235.428571428571,223.571428571429,217.571428571429,221.428571428571,258,223.285714285714,224.714285714286
"11","CHITRADURGA",308.666666666667,309.666666666667,315,329.833333333333,332.5,334.833333333333,398,340,342
"12","DAKSHINA KANNADA",218.25,223.25,225.5,229,230.75,232.25,294.25,234,235.25
"13","DAVANAGERE",261.666666666667,268.5,273.666666666667,273.166666666667,275.333333333333,278.166666666667,346.5,278.833333333333,282.5
"14","DHARWAD",197.4,206.6,145,147.6,152.8,149.4,184.6,152,155.8
"15","GADAG",127.75,131,134.75,135.25,138.25,140.75,183,146,144.75
"16","GULBARGA",243.666666666667,252.5,262,283,289.833333333333,300.5,365.333333333333,321.833333333333,326.5
"17","HASSAN",363.625,367,365,366.75,366.125,371.375,427.75,361.625,362.875
"18","HAVERI",170.666666666667,176.333333333333,180.333333333333,186.833333333333,190.833333333333,195.333333333333,242.166666666667,199.166666666667,199.5
"19","KODAGU",168,172.333333333333,173.333333333333,178.333333333333,178.333333333333,178.333333333333,226.333333333333,179,180.666666666667
"20","KOLAR",421,437.2,419,401.6,403.2,405.2,448.8,405.6,404
"21","KOPPAL",265,271,288,292.25,296.75,304.75,368.75,325.25,334
"22","MANDYA",293.666666666667,295.333333333333,295.833333333333,298,296.5,297.666666666667,343.833333333333,301.666666666667,292.166666666667
"23","MYSORE",293.428571428571,301.285714285714,303.285714285714,306.571428571429,309.714285714286,314.714285714286,370,316.428571428571,314.857142857143
"24","RAICHUR",293.8,308,324.2,347.8,361,381,445.2,394.2,402.4
"25","RAMANAGARA",387.75,386.5,394.75,396.25,401,406.5,454.25,390.75,391.75
"26","SHIMOGA",318.571428571429,317.285714285714,326.571428571429,329.285714285714,330.714285714286,332.571428571429,389.285714285714,335.285714285714,332
"27","TUMKUR",436,436,444.666666666667,435.333333333333,436.333333333333,429,496.166666666667,427.333333333333,422.833333333333
"28","TUMKUR MADHUGIRI",351,346,352.5,352.25,357.5,362.5,422,363.25,363.75
"29","UDUPI",283.5,283,200,192.5,194.5,194.5,257.5,196.5,195.5
"30","UTTARA KANNADA",212.2,216.4,215.4,219.4,219.2,219.2,249,220.6,221.4
"31","UTTARA KANNADA SIRSI",199.666666666667,200.5,203,208,209,207.166666666667,233.833333333333,209,208.833333333333
"32","YADAGIRI",298.333333333333,311.333333333333,328.333333333333,339.333333333333,358,373.666666666667,441.333333333333,398,404
