,Block_Name,X,Year,Marks1,Marks2,Marks3,Marks4,Marks5,Marks6,Total,Dist_Name,Rural_Urban,No_of_Working_Days,No_of_Acad_Inspection,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Tot_Clrooms,Toilet_Girls,Electricity,Library,PlayGround,Male_Tch,Female_Tch,Graduate_Teachers,Tch_with_Prof_Qual,Days_involved_in_non_tch_assgn,Teachers_involved_in_non_tch_assgn,Public,Split,Households,TotPop,Pop0.6,Literates,TotWPop,SCST,District,Yr2005,Yr2006,Yr2007,Yr2008,Yr2009,Yr2010,Yr2011,Yr2012,Yr2013,SchoolperPop2005,SchoolperPop2006,SchoolperPop2007,SchoolperPop2008,SchoolperPop2009,SchoolperPop2010,SchoolperPop2011,SchoolperPop2012,SchoolperPop2013
1,AFZALPUR,1,2005,59.47780443,36.86489778,56.21957155,35.52719177,38.77918784,49.72016609,276.5888195,GULBARGA,0.946428571,81.51190476,1.148809524,2888.27381,995.875,5640.196429,2242.839286,3.910714286,1,0.583333333,0.851190476,0.702380952,3.05952381,1.494047619,72.11904762,4.452380952,0,0,0.958333333,1,31054,180071,29789,76478,76856,35823,GULBARGA,168,174,179,195,206,217,267,242,253,0.93296533,0.966285521,0.994052346,1.082906187,1.143993203,1.205080218,1.482748471,1.343914345,1.405001361
2,ALAND,10,2005,65.49772636,36.75792478,57.56871826,41.07394692,41.39071271,52.96554013,295.2545692,GULBARGA,0.92936803,105.4795539,0.936802974,2971.349442,1551.360595,6295.464684,2972.69145,4.446096654,1,0.501858736,0.713754647,0.665427509,2.884758364,1.687732342,26.48698885,4.382899628,0,0,0.881040892,1,51997,297136,48153,131648,152619,73846,GULBARGA,269,283,302,311,318,329,412,354,357,0.905309353,0.952425825,1.016369609,1.046658769,1.070217005,1.10723709,1.386570459,1.191373647,1.201470034
3,ALUR,19,2005,79.38529376,36.48772639,52.11740376,34.87943527,42.5073386,51.08077343,296.4579712,HASSAN,0.941463415,89.14146341,1.082926829,3468.209756,1071.82439,3638.873171,1315.960976,3.004878049,1,0.43902439,0.770731707,0.536585366,1.570731707,1.156097561,10.16585366,2.609756098,0,0,0.946341463,0,18542,86071,10422,49444,43371,23614,HASSAN,205,203,197,195,197,200,228,197,199,2.381754598,2.358517968,2.288808077,2.265571447,2.288808077,2.323663022,2.648975846,2.288808077,2.312044707
4,ANKOLA,28,2005,75.1944894,43.21662036,63.82250051,41.79907771,46.6760799,55.11990108,325.828669,UTTARA KANNADA,0.910179641,100.2694611,0.191616766,2835.329341,1667.293413,173.6526946,28.74251497,3.832335329,1,0.658682635,0.562874251,0.251497006,1.251497006,2.377245509,30.52694611,3.586826347,0,0,0.982035928,0,21079,101549,11893,68839,52795,8384,UTTARA KANNADA,167,171,171,174,174,171,197,173,174,1.644526288,1.683916139,1.683916139,1.713458527,1.713458527,1.683916139,1.939950172,1.703611065,1.713458527
5,ATHANI,37,2005,75.47298642,48.31312447,68.53366288,47.57180694,55.12395338,67.44872842,362.4642625,BELGAUM CHIKKODI,0.936651584,89.38914027,0.819004525,1361.323529,1283.176471,838.5294118,795.1719457,3.857466063,1,0.341628959,0.662895928,0.778280543,3.009049774,1.730769231,17.24660633,4.319004525,0,0,0.84841629,0,85536,461862,70554,239507,237170,79774,BELGAUM CHIKKODI,442,494,372,398,414,412,481,415,419,0.956995813,1.069583555,0.80543539,0.861729261,0.896371643,0.892041346,1.04143662,0.898536792,0.907197388
6,AURAD,46,2005,62.22340864,33.39967852,51.03563706,38.02415606,39.57028111,46.75516683,271.0083282,BIDAR,0.996254682,80.64794007,0.846441948,2465.861423,2023.048689,2630.003745,2516.2397,4.228464419,1,0.580524345,0.715355805,0.625468165,3.906367041,1.625468165,0.902621723,5.310861423,0,0,0.925093633,0,41633,245294,38744,119526,97237,85823,BIDAR,267,294,301,321,339,364,426,374,382,1.088489731,1.198561726,1.22709891,1.308633721,1.382015051,1.483933565,1.73669148,1.524700971,1.557314896
7,BADAMI,55,2005,72.96073502,51.43535304,65.94536861,50.71995876,58.71370409,72.39290648,372.168026,BAGALKOT,0.78030303,98.5,0.84469697,2924.814394,1641.833333,4336.742424,2125.242424,5.109848485,1,0.598484848,0.803030303,0.742424242,2.962121212,2.189393939,5.340909091,4.928030303,0,0,0.893939394,0,51116,291924,47214,137954,132369,62812,BAGALKOT,264,275,283,287,283,286,348,296,298,0.904344966,0.942026007,0.9694304,0.983132596,0.9694304,0.979707047,1.192091092,1.013962538,1.020813636
8,BAGALKOT,64,2005,63.72742334,39.58771036,55.46065922,35.85890023,44.60075656,53.94215132,295.4077751,BAGALKOT,0.75,94.81666667,1.505555556,3085.966667,1884.238889,2807.633333,2442.222222,6.2,1,0.716666667,0.772222222,0.677777778,3.166666667,3.122222222,24.21666667,6.161111111,0,0,0.894444444,0,45941,247271,37962,133388,101466,51970,BAGALKOT,180,218,220,232,243,243,295,242,243,0.727946261,0.881623805,0.889712097,0.938241848,0.982727453,0.982727453,1.193023039,0.978683307,0.982727453
9,BAGEPALLY,73,2005,68.96382867,38.30349401,53.1744845,41.76186024,45.52119623,53.49629408,301.2211577,CHIKKABALLAPURA,0.985549133,107.7398844,0.170520231,2193.554913,1767.132948,3545.401734,2160.878613,3.005780347,1,0.378612717,0.817919075,0.378612717,1.713872832,1.164739884,23.8583815,2.528901734,4.225433526,0.537572254,0.869942197,1,36668,169689,21792,74804,91988,71389,CHIKKABALLAPURA,346,336,345,350,355,349,397,361,362,2.039024333,1.980092994,2.033131199,2.062596868,2.092062538,2.056703734,2.339574162,2.127421341,2.133314475
10,BAILHONGAL,82,2005,78.26988789,53.72886798,69.07045995,56.64395747,57.26071035,69.35348822,384.3273719,BELGAUM,0.917695473,0.411522634,0.004115226,8.230452675,8.230452675,16.46090535,16.46090535,0.008230453,1,0.543209877,0.407407407,0.806584362,3.172839506,2.407407407,22.06995885,5.382716049,0,0,0.913580247,0,64961,356286,53139,191258,154845,52415,BELGAUM,243,283,270,284,288,295,377,306,309,0.682036342,0.794305698,0.757818157,0.797112432,0.808339368,0.827986505,1.058138686,0.858860578,0.86728078
11,BANGARAPETE,91,2005,64.01838414,42.76771173,50.49800486,36.0131463,41.7703971,51.00892284,286.076567,KOLAR,0.788888889,110.5425926,0.275925926,2342.868519,1871.725926,3345.946296,2019.457407,4.074074074,1,0.522222222,0.757407407,0.461111111,1.274074074,2.892592593,21.25,3.783333333,3.105555556,0.588888889,0.855555556,1,81728,421437,53451,264428,163702,162806,KOLAR,540,550,442,375,383,385,427,383,383,1.281330306,1.305058645,1.048792583,0.889812712,0.908795383,0.913541051,1.013200075,0.908795383,0.908795383
12,BASAVAKALYAN,100,2005,60.49862109,31.67046991,48.61196881,35.09343696,34.79539577,43.3290229,253.9989154,BIDAR,0.853846154,94.33461538,0.603846154,5183.015385,3881.780769,4866.384615,4082.161538,5.130769231,1,0.607692308,0.719230769,0.619230769,4.003846154,2.253846154,9.361538462,5.903846154,0,0,0.853846154,0,50606,299910,49783,147816,119383,108275,BIDAR,260,279,286,308,323,333,426,346,370,0.866926745,0.930279084,0.953619419,1.026974759,1.076989764,1.1103331,1.420426128,1.153679437,1.233703444
13,BASAVAN  BAGEWADI,109,2005,68.77176183,39.9446496,62.30840213,38.85852206,47.25428542,58.62728201,315.764903,BIJAPUR,0.947712418,104.8039216,0.849673203,3007.705882,1652.114379,4404.111111,2077.447712,4.369281046,1,0.5,0.689542484,0.718954248,3.166666667,1.748366013,27.69934641,4.77124183,9.052287582,1.522875817,0.908496732,0,54243,303290,48249,138836,133029,63689,BIJAPUR,306,307,326,339,353,373,452,405,410,1.008935342,1.012232517,1.074878829,1.117742095,1.163902536,1.229846022,1.490322793,1.3353556,1.351841472
14,BELUR,118,2005,76.34582762,36.68245311,53.19930875,35.34987419,41.97568322,48.06586369,291.6190106,HASSAN,0.932960894,89.2150838,0.279329609,2622.301676,884.9385475,8998.701117,5090.089385,3.030726257,1,0.379888268,0.846368715,0.606145251,1.664804469,1.430167598,11.78212291,2.882681564,0,0,0.930167598,0,38896,183755,22345,108182,92354,54590,HASSAN,358,362,353,359,358,366,407,364,365,1.948246306,1.970014421,1.921036162,1.953688335,1.948246306,1.991782537,2.214905717,1.980898479,1.986340508
15,BHADRAVATI,127,2005,73.56511538,43.94229859,55.91530994,39.83120515,45.89405747,51.15269521,312.1104388,SHIMOGA,0.699716714,86.21813031,0.52407932,2255.135977,1264.847025,2844.419263,702.6600567,4.201133144,1,0.736543909,0.790368272,0.620396601,1.753541076,3.220963173,12.7223796,4.385269122,0,0,0.807365439,0,71771,338989,40758,219213,131016,79582,SHIMOGA,353,346,354,355,357,357,431,358,355,1.041331725,1.020682087,1.044281673,1.047231621,1.053131518,1.053131518,1.271427686,1.056081466,1.047231621
16,BHALKI,136,2005,55.47965268,36.27222317,54.34623573,39.40431925,39.12618519,51.67423277,276.3028488,BIDAR,0.890410959,94.59817352,0.484018265,3374.899543,2783.228311,4207.60274,3119.990868,5.360730594,1,0.748858447,0.748858447,0.666666667,4.557077626,2.465753425,5.904109589,6.652968037,0,0,0.908675799,0,44057,257042,38898,136188,100046,77878,BIDAR,219,246,328,335,326,337,404,337,345,0.85200084,0.95704204,1.276056053,1.303288957,1.268275224,1.311069786,1.571727578,1.311069786,1.342193105
17,BHATKAL,145,2005,78.14470311,42.70583612,68.44022967,41.9419029,48.5723604,58.82570997,338.6307422,UTTARA KANNADA,0.9,104.6555556,0.172222222,2777.477778,665.3333333,4773.405556,657.55,3.911111111,1,0.783333333,0.794444444,0.538888889,1.488888889,2.3,40.08888889,3.566666667,0,0,0.955555556,0,25188,149338,21134,94993,53259,21545,UTTARA KANNADA,180,188,188,198,196,197,230,202,204,1.205319477,1.258889231,1.258889231,1.325851424,1.312458986,1.319155205,1.540130442,1.352636302,1.36602874
18,BIDAR,154,2005,56.31322599,41.24451925,59.93351205,40.40997137,43.63973674,52.26646795,293.8074334,BIDAR,0.565349544,78.39209726,0.723404255,3686.322188,2472.237082,3953.458967,2757.267477,5.20668693,1,0.738601824,0.753799392,0.662613982,2.808510638,4.750759878,4.85106383,6.911854103,0,0,0.772036474,0,67627,405540,64788,221336,133480,103492,BIDAR,329,359,419,438,490,521,653,580,600,0.811263994,0.885239434,1.033190314,1.080041426,1.208265523,1.284706811,1.610198747,1.430191843,1.479508803
19,BILAGI,163,2005,65.40700929,31.39889691,42.91939598,28.1561615,35.54929987,46.12477859,249.5555421,BAGALKOT,0.914728682,99.35658915,0.573643411,3007.093023,1215.449612,4674.224806,1020.48062,4.953488372,1,0.689922481,0.720930233,0.651162791,3.271317829,1.240310078,40.09302326,4.240310078,0,0,0.891472868,0,26060,141996,23684,60188,68114,38865,BAGALKOT,129,145,157,157,165,169,206,175,173,0.908476295,1.021155526,1.105664948,1.105664948,1.162004564,1.190174371,1.450745091,1.232429083,1.218344179
