"","Block_Name","Year","Marks1","Marks2","Marks3","Marks4","Marks5","Marks6","Total","Dist_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","Public","Split","Households","TotPop","Pop0.6","Literates","TotWPop","SCST","District","Yr2005","Yr2006","Yr2007","Yr2008","Yr2009","Yr2010","Yr2011","Yr2012","Yr2013","SchoolperPop2005","SchoolperPop2006","SchoolperPop2007","SchoolperPop2008","SchoolperPop2009","SchoolperPop2010","SchoolperPop2011","SchoolperPop2012","SchoolperPop2013","distance","weights"
"1","AFZALPUR",2005,59.47780443,36.86489778,56.21957155,35.52719177,38.77918784,49.72016609,276.5888195,"GULBARGA",0.946428571,81.51190476,1.148809524,2888.27381,995.875,5640.196429,2242.839286,3.910714286,1,0.583333333,0.851190476,0.702380952,3.05952381,1.494047619,72.11904762,4.452380952,0,0,0.958333333,1,31054,180071,29789,76478,76856,35823,"GULBARGA",168,174,179,195,206,217,267,242,253,0.93296533,0.966285521,0.994052346,1.082906187,1.143993203,1.205080218,1.482748471,1.343914345,1.405001361,0.0942088283812047,1
"2","ALAND",2005,65.49772636,36.75792478,57.56871826,41.07394692,41.39071271,52.96554013,295.2545692,"GULBARGA",0.92936803,105.4795539,0.936802974,2971.349442,1551.360595,6295.464684,2972.69145,4.446096654,1,0.501858736,0.713754647,0.665427509,2.884758364,1.687732342,26.48698885,4.382899628,0,0,0.881040892,1,51997,297136,48153,131648,152619,73846,"GULBARGA",269,283,302,311,318,329,412,354,357,0.905309353,0.952425825,1.016369609,1.046658769,1.070217005,1.10723709,1.386570459,1.191373647,1.201470034,0.181340077940453,1
"3","ALUR",2005,79.38529376,36.48772639,52.11740376,34.87943527,42.5073386,51.08077343,296.4579712,"HASSAN",0.941463415,89.14146341,1.082926829,3468.209756,1071.82439,3638.873171,1315.960976,3.004878049,1,0.43902439,0.770731707,0.536585366,1.570731707,1.156097561,10.16585366,2.609756098,0,0,0.946341463,0,18542,86071,10422,49444,43371,23614,"HASSAN",205,203,197,195,197,200,228,197,199,2.381754598,2.358517968,2.288808077,2.265571447,2.288808077,2.323663022,2.648975846,2.288808077,2.312044707,0.809864119638401,1
"6","AURAD",2005,62.22340864,33.39967852,51.03563706,38.02415606,39.57028111,46.75516683,271.0083282,"BIDAR",0.996254682,80.64794007,0.846441948,2465.861423,2023.048689,2630.003745,2516.2397,4.228464419,1,0.580524345,0.715355805,0.625468165,3.906367041,1.625468165,0.902621723,5.310861423,0,0,0.925093633,0,41633,245294,38744,119526,97237,85823,"BIDAR",267,294,301,321,339,364,426,374,382,1.088489731,1.198561726,1.22709891,1.308633721,1.382015051,1.483933565,1.73669148,1.524700971,1.557314896,0.376442896181771,1
"11","BANGARAPETE",2005,64.01838414,42.76771173,50.49800486,36.0131463,41.7703971,51.00892284,286.076567,"KOLAR",0.788888889,110.5425926,0.275925926,2342.868519,1871.725926,3345.946296,2019.457407,4.074074074,1,0.522222222,0.757407407,0.461111111,1.274074074,2.892592593,21.25,3.783333333,3.105555556,0.588888889,0.855555556,1,81728,421437,53451,264428,163702,162806,"KOLAR",540,550,442,375,383,385,427,383,383,1.281330306,1.305058645,1.048792583,0.889812712,0.908795383,0.913541051,1.013200075,0.908795383,0.908795383,0.441244239000085,1
"12","BASAVAKALYAN",2005,60.49862109,31.67046991,48.61196881,35.09343696,34.79539577,43.3290229,253.9989154,"BIDAR",0.853846154,94.33461538,0.603846154,5183.015385,3881.780769,4866.384615,4082.161538,5.130769231,1,0.607692308,0.719230769,0.619230769,4.003846154,2.253846154,9.361538462,5.903846154,0,0,0.853846154,0,50606,299910,49783,147816,119383,108275,"BIDAR",260,279,286,308,323,333,426,346,370,0.866926745,0.930279084,0.953619419,1.026974759,1.076989764,1.1103331,1.420426128,1.153679437,1.233703444,0.444062366831893,1
"14","BELUR",2005,76.34582762,36.68245311,53.19930875,35.34987419,41.97568322,48.06586369,291.6190106,"HASSAN",0.932960894,89.2150838,0.279329609,2622.301676,884.9385475,8998.701117,5090.089385,3.030726257,1,0.379888268,0.846368715,0.606145251,1.664804469,1.430167598,11.78212291,2.882681564,0,0,0.930167598,0,38896,183755,22345,108182,92354,54590,"HASSAN",358,362,353,359,358,366,407,364,365,1.948246306,1.970014421,1.921036162,1.953688335,1.948246306,1.991782537,2.214905717,1.980898479,1.986340508,0.675471696047871,1
"16","BHALKI",2005,55.47965268,36.27222317,54.34623573,39.40431925,39.12618519,51.67423277,276.3028488,"BIDAR",0.890410959,94.59817352,0.484018265,3374.899543,2783.228311,4207.60274,3119.990868,5.360730594,1,0.748858447,0.748858447,0.666666667,4.557077626,2.465753425,5.904109589,6.652968037,0,0,0.908675799,0,44057,257042,38898,136188,100046,77878,"BIDAR",219,246,328,335,326,337,404,337,345,0.85200084,0.95704204,1.276056053,1.303288957,1.268275224,1.311069786,1.571727578,1.311069786,1.342193105,0.109812691931512,1
"24","CHIKKABALLAPUR",2005,72.28675415,45.51955294,60.56044199,47.73988285,51.49298169,58.12799437,335.727608,"CHIKKABALLAPURA",0.867595819,119.3937282,0.236933798,2763,1708.993031,3613.1777,2083.912892,3.735191638,1,0.595818815,0.599303136,0.554006969,1.547038328,2.198606272,25.2369338,3.344947735,3.243902439,0.554006969,0.846689895,1,38465,191122,24849,107496,92342,65062,"CHIKKABALLAPURA",287,281,288,302,303,310,345,315,308,1.501658626,1.470265066,1.506890886,1.580142527,1.585374787,1.622000607,1.805129708,1.648161907,1.611536087,0.108290643066742,1
"26","CHIKNAYAKANHALLI",2005,74.49612986,35.07488478,54.40007171,37.76297998,41.75813451,49.17970156,292.6719024,"TUMKUR",0.963888889,103.8305556,0.383333333,2357.694444,598.4666667,1342.225,349.0194444,2.966666667,1,0.427777778,0.827777778,0.502777778,1.830555556,1.536111111,14.29722222,3.227777778,9.211111111,2.05,0.919444444,0,45896,209622,24494,129954,104749,52511,"TUMKUR",360,368,375,360,356,353,411,358,357,1.717376993,1.755540926,1.788934368,1.717376993,1.698295026,1.683983551,1.960672067,1.70783601,1.703065518,0.423189705142614,1
