"","Block_Name","X","Year","Marks1","Marks2","Marks3","Marks4","Marks5","Marks6","Total","Dist_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","Public","Split","Households","TotPop","Pop0.6","Literates","TotWPop","SCST","District","Yr2005","Yr2006","Yr2007","Yr2008","Yr2009","Yr2010","Yr2011","Yr2012","Yr2013","SchoolperPop2005","SchoolperPop2006","SchoolperPop2007","SchoolperPop2008","SchoolperPop2009","SchoolperPop2010","SchoolperPop2011","SchoolperPop2012","SchoolperPop2013"
"1","AFZALPUR",9,2013,72.57446809,NA,60.91489362,51.4893617,54.08510638,69.95744681,361.212766,"GULBARGA",0.853754941,0,0.802371542,7208.695652,6104.916996,1906.486166,1982.608696,6.019762846,1,0.940711462,0.944664032,0.561264822,3.221343874,1.652173913,1.229249012,4.604743083,0.434782609,0.039525692,0.743083004,1,34740,193251,29037,97953,85667,40507,"GULBARGA",168,174,179,195,206,217,267,242,253,0.869335734355838,0.900383439154261,0.92625652648628,1.00905040594874,1.06597119807918,1.12289199020962,1.38162286352981,1.25225742686972,1.30917821900016
"2","ALAND",18,2013,69.1625,NA,58.025,45.35,48.4375,60.125,329.6875,"GULBARGA",0.868347339,0,1.795518207,9466.703081,6714.745098,2399.327731,1940.341737,5.985994398,1,0.913165266,0.924369748,0.582633053,3.142857143,2.352941176,1.515406162,5.392156863,0.112044818,0.005602241,0.801120448,1,54128,299836,41000,160854,144724,86285,"GULBARGA",269,283,302,311,318,329,412,354,357,0.897157112554863,0.943849304286343,1.00721727877907,1.0372336877493,1.06057978361504,1.09726650568978,1.37408449952641,1.18064541949599,1.19065088915274
"3","ALUR",27,2013,85.09375,NA,59.71875,49.71875,48.71875,62.34375,363.21875,"HASSAN",0.949748744,0,1.291457286,7847.18593,7150.919598,1313.819095,1156.281407,3.412060302,1,1,1,0.804020101,1.407035176,1.32160804,0.879396985,2.703517588,0.190954774,0.010050251,0.934673367,0,19483,78714,6867,52429,45929,23799,"HASSAN",205,203,197,195,197,200,228,197,199,2.60436517010951,2.57895672942552,2.50273140737353,2.47732296668953,2.50273140737353,2.54084406839952,2.89656223797546,2.50273140737353,2.52813984805752
"4","ANKOLA",36,2013,80.21428571,NA,64.64285714,48.89285714,54.28571429,63.39285714,366.5357143,"UTTARA KANNADA",0.890804598,0,0.626436782,7625.867816,6954.557471,1879.16092,1615.367816,4.109195402,0.994252874,1,0.994252874,0.994252874,1.166666667,2.402298851,0.942528736,3.568965517,2.32183908,0.011494253,0.959770115,0,21897,92023,8506,70202,44492,7099,"UTTARA KANNADA",167,171,171,174,174,171,197,173,174,1.81476370037925,1.85823109440031,1.85823109440031,1.89083163991611,1.89083163991611,1.85823109440031,2.1407691555372,1.87996479141084,1.89083163991611
"5","ATHANI",45,2013,79.25,NA,63.31481481,50.64814815,52.51851852,63.98148148,366.2407407,"BELGAUM CHIKKODI",0.906921241,0,1.100238663,8227.085919,6223.164678,1581.639618,1402.214797,4.823389021,1,0.69928401,0.988066826,0.778042959,3.021479714,1.579952267,1.062052506,4.582338902,0.057279236,0.007159905,0.835322196,0,98107,479974,65383,286486,226777,88990,"BELGAUM CHIKKODI",442,494,372,398,414,412,481,415,419,0.920883214507452,1.02922241621421,0.775041981440661,0.829211582294041,0.862546721280736,0.858379828907399,1.00213761578752,0.864630167467405,0.872963952214078
"6","AURAD",54,2013,67.33870968,NA,52.59677419,40.40322581,43.37096774,49.82258065,299.0322581,"BIDAR",0.913612565,0,0.589005236,9041.884817,9005.188482,208.513089,203.2774869,6.151832461,1,0.979057592,0.958115183,0.942408377,3.04973822,1.562827225,0.35078534,4.536649215,0,0,0.858638743,0,47862,258551,34325,150270,114594,111992,"BIDAR",267,294,301,321,339,364,426,374,382,1.0326782723718,1.13710641227456,1.16418037447157,1.24153455217733,1.3111533121125,1.40784603424469,1.64764398513253,1.44652312309757,1.47746479417987
"7","BADAMI",63,2013,74.01587302,NA,62.03174603,52.23809524,53.3968254,68.88888889,369.1428571,"BAGALKOT",0.751677852,0,1.003355705,9483.798658,7576.47651,2068.107383,1811.191275,6.265100671,1,0.969798658,0.963087248,0.60738255,3.248322148,2.177852349,0.788590604,5.369127517,0.137583893,0.030201342,0.865771812,0,45260,246804,36789,135869,120249,64084,"BAGALKOT",264,275,283,287,283,286,348,296,298,1.06967472164146,1.11424450170986,1.14665888721415,1.16286607996629,1.14665888721415,1.15881428177825,1.41002576943648,1.19933226365861,1.20743586003468
"8","BAGALKOT",72,2013,75.35,NA,62.15,51.05,52.25,63.25,364.4666667,"BAGALKOT",0.724279835,0,1.658436214,8550.452675,7436.814815,2299.8107,2089.382716,6.851851852,1,0.979423868,0.975308642,0.732510288,2.864197531,3.485596708,1.201646091,5.884773663,0.032921811,0.008230453,0.847736626,0,33316,173181,24980,98346,78654,49604,"BAGALKOT",180,218,220,232,243,243,295,242,243,1.03937498917318,1.25879859799863,1.27034720898944,1.33963887493432,1.40315623538379,1.40315623538379,1.70342012114493,1.39738192988838,1.40315623538379
"9","BAGEPALLY",81,2013,73.85365854,NA,57.04878049,45.56097561,45.56097561,59.04878049,332.3414634,"CHIKKABALLAPURA",0.966850829,1.273480663,0.46961326,5324.544199,4913.604972,818.6740331,760.2762431,3.555248619,0.997237569,0.966850829,1,0.403314917,1.508287293,1.367403315,1.151933702,2.690607735,0.20718232,0.013812155,0.889502762,1,37955,156487,16402,82223,87084,73268,"CHIKKABALLAPURA",346,336,345,350,355,349,397,361,362,2.21104628499492,2.14714321317426,2.20465597781285,2.23660751372318,2.26855904963352,2.23021720654112,2.5369519512803,2.30690089272591,2.31329119990798
"10","BAILHONGAL",90,2013,78.61904762,NA,61.3452381,54.72619048,58.5952381,67.13095238,373.5595238,"BELGAUM",0.877022654,0,0.553398058,8011.391586,7250.550162,2311.695793,2127.067961,6.870550162,1,1,1,0.754045307,3.226537217,3.355987055,0.915857605,6.537216828,0,0,0.786407767,0,69611,332007,41293,206525,144849,55159,"BELGAUM",243,283,270,284,288,295,377,306,309,0.731912278957974,0.852391666440768,0.81323586550886,0.855403651127838,0.867451589876117,0.888535482685606,1.13551822702533,0.921667314243374,0.930703268304584
