"","Name","Total.Rural.Urban","No.of.Households","Total.Population.Person","Total.Population.Male","Total.Population.Female","Population.in.the.age.group.0.6.Person","Population.in.the.age.group.0.6.Male","Population.in.the.age.group.0.6.Female","Scheduled.Castes.population.Person","Scheduled.Castes.population.Male","Scheduled.Castes.population.Female","Scheduled.Tribes.population.Person","Scheduled.Tribes.population.Male","Scheduled.Tribes.population.Female","Literates.Population.Person","Literates.Population.Male","Literates.Population.Female","Illiterate.Persons","Illiterate.Male","Illiterate.Female","Total.Worker.Population.Person","Total.Worker.Population.Male","Total.Worker.Population.Female","Main.Working.Population.Person","Main.Working.Population.Male","Main.Working.Population.Female","Main.Cultivator.Population.Person","Main.Cultivator.Population.Male","Main.Cultivator.Population.Female","Main.Agricultural.Labourers.Population.Person","Main.Agricultural.Labourers.Population.Male","Main.Agricultural.Labourers.Population.Female","Main.Household.Industries.Population.Person","Main.Household.Industries.Population.Male","Main.Household.Industries.Population.Female","Main.Other.Workers.Population.Person","Main.Other.Workers.Population.Male","Main.Other.Workers.Population.Female","Marginal.Worker.Population.Person","Marginal.Worker.Population.Male","Marginal.Worker.Population.Female","Marginal.Cultivator.Population.Person","Marginal.Cultivator.Population.Male","Marginal.Cultivator.Population.Female","Marginal.Agriculture.Labourers.Population.Person","Marginal.Agriculture.Labourers.Population.Male","Marginal.Agriculture.Labourers.Population.Female","Marginal.Household.Industries.Population.Person","Marginal.Household.Industries.Population.Male","Marginal.Household.Industries.Population.Female","Marginal.Other.Workers.Population.Person","Marginal.Other.Workers.Population.Male","Marginal.Other.Workers.Population.Female","Marginal.Worker.Population.3_6.Person","Marginal.Worker.Population.3_6.Male","Marginal.Worker.Population.3_6.Female","Marginal.Cultivator.Population.3_6.Person","Marginal.Cultivator.Population.3_6.Male","Marginal.Cultivator.Population.3_6.Female","Marginal.Agriculture.Labourers.Population.3_6.Person","Marginal.Agriculture.Labourers.Population.3_6.Male","Marginal.Agriculture.Labourers.Population.3_6.Female","Marginal.Household.Industries.Population.3_6.Person","Marginal.Household.Industries.Population.3_6.Male","Marginal.Household.Industries.Population.3.6.Female","Marginal.Other.Workers.Population.Person.3_6.Person","Marginal.Other.Workers.Population.Person.3_6.Male","Marginal.Other.Workers.Population.Person.3_6.Female","Marginal.Worker.Population.0_3.Person","Marginal.Worker.Population.0_3.Male","Marginal.Worker.Population.0_3_Female","Marginal.Cultivator.Population.0_3.Person","Marginal.Cultivator.Population.0_3.Male","Marginal.Cultivator.Population.0_3_Female","Marginal.Agriculture.Labourers.Population.0_3.Person","Marginal.Agriculture.Labourers.Population.0_3.Male","Marginal.Agriculture.Labourers.Population.0_3.Female","Marginal.Household.Industries.Population.0_3.Person","Marginal.Household.Industries.Population.0_3.Male","Marginal.Household.Industries.Population.0_3.Female","Marginal.Other.Workers.Population.0_3.Person","Marginal.Other.Workers.Population.0_3.Male","Marginal.Other.Workers.Population.0_3.Female","Non.Working.Population.Person","Non.Working.Population.Male","Non.Working.Population.Female","Split","SCST","distance","weights"
"75","BILAGI","Total",27142,142502,71342,71160,21618,11239,10379,27608,13695,13913,15663,7786,7877,76871,45188,31683,65631,26154,39477,68593,37684,30909,53943,32575,21368,18897,13954,4943,25138,10873,14265,1022,700,322,8886,7048,1838,14650,5109,9541,999,487,512,10581,3188,7393,563,243,320,2507,1191,1316,13652,4736,8916,893,434,459,10103,3035,7068,499,211,288,2157,1056,1101,998,373,625,106,53,53,478,153,325,64,32,32,350,135,215,73909,33658,40251,0,43271,0.203840304281055,1
"646","NELAMANGALA","Total",42152,173657,88664,84993,18350,9391,8959,40650,20358,20292,7482,3848,3634,118980,66730,52250,54677,21934,32743,78145,54907,23238,66642,49069,17573,22500,17497,5003,8341,4390,3951,1893,1300,593,33908,25882,8026,11503,5838,5665,1432,613,819,3751,1250,2501,849,449,400,5471,3526,1945,9841,4875,4966,1352,572,780,3452,1115,2337,557,284,273,4480,2904,1576,1662,963,699,80,41,39,299,135,164,292,165,127,991,622,369,95512,33757,61755,1,48132,0.0907065203819651,1
"892","DODDABALLAPURA","Total",50750,214952,110325,104627,21953,11230,10723,52037,26040,25997,12472,6426,6046,145106,82811,62295,69846,27514,42332,111718,69939,41779,89826,61217,28609,36052,26069,9983,16322,7563,8759,2176,1422,754,35276,26163,9113,21892,8722,13170,4393,1739,2654,10500,3332,7168,1351,562,789,5648,3089,2559,19675,7766,11909,4237,1672,2565,9500,3023,6477,1025,358,667,4913,2713,2200,2217,956,1261,156,67,89,1000,309,691,326,204,122,735,376,359,103234,40386,62848,1,64509,0.130516515943049,1
"1193","DEVANAHALLI","Total",31774,146705,75798,70907,15827,8066,7761,39705,20097,19608,17451,8930,8521,98187,56143,42044,48518,19655,28863,74538,47660,26878,61566,42393,19173,26572,19613,6959,15026,8083,6943,1118,589,529,18850,14108,4742,12972,5267,7705,1551,628,923,5340,1856,3484,883,276,607,5198,2507,2691,10964,4393,6571,1349,564,785,4893,1676,3217,650,206,444,4072,1947,2125,2008,874,1134,202,64,138,447,180,267,233,70,163,1126,560,566,72167,28138,44029,1,57156,0.149998187238953,1
"1413","HOSAKOTE","Total",46980,213838,111038,102800,24203,12582,11621,52008,26184,25824,8113,4208,3905,143733,81828,61905,70105,29210,40895,97751,68774,28977,84918,62167,22751,29152,22297,6855,16647,9525,7122,1894,1325,569,37225,29020,8205,12833,6607,6226,1961,933,1028,4468,1880,2588,1028,474,554,5376,3320,2056,10686,5575,5111,1648,812,836,3812,1625,2187,884,430,454,4342,2708,1634,2147,1032,1115,313,121,192,656,255,401,144,44,100,1034,612,422,116087,42264,73823,1,60121,0.0715905628925499,1
"3540","RAMDURG","Total",42511,225189,114297,110892,34476,17690,16786,36032,18205,17827,8395,4255,4140,122154,73121,49033,103035,41176,61859,110791,64537,46254,90196,58957,31239,35266,27593,7673,33012,14508,18504,3003,2112,891,18915,14744,4171,20595,5580,15015,2765,912,1853,13564,2695,10869,781,265,516,3485,1708,1777,18943,5042,13901,2355,761,1594,12764,2464,10300,690,240,450,3134,1577,1557,1652,538,1114,410,151,259,800,231,569,91,25,66,351,131,220,114398,49760,64638,0,44427,0.177006013951836,1
"3660","HADAGALI","Total",33008,167252,84819,82433,22408,11471,10937,49925,25235,24690,12917,6505,6412,101708,58689,43019,65544,26130,39414,84815,49096,35719,67897,42982,24915,18831,16063,2768,38146,18987,19159,1342,868,474,9578,7064,2514,16918,6114,10804,1061,538,523,12161,3726,8435,624,239,385,3072,1611,1461,15942,5815,10127,981,515,466,11879,3642,8237,555,213,342,2527,1445,1082,976,299,677,80,23,57,282,84,198,69,26,43,545,166,379,82437,35723,46714,0,62842,0.170833818035736,1
"3779","HOSPET","Total",36564,188965,94673,94292,29687,15157,14530,55268,27600,27668,37791,18749,19042,95166,55639,39527,93799,39034,54765,90924,53693,37231,79165,48393,30772,20971,14842,6129,36113,16749,19364,1147,749,398,20934,16053,4881,11759,5300,6459,1201,569,632,6834,2668,4166,421,187,234,3303,1876,1427,10141,4529,5612,1119,530,589,6196,2359,3837,341,161,180,2485,1479,1006,1618,771,847,82,39,43,638,309,329,80,26,54,818,397,421,98041,40980,57061,0,93059,0.267321743883012,1
"3856","SIRUGUPPA","Total",36512,190388,94949,95439,28909,14779,14130,43244,21391,21853,38200,18977,19223,80738,49522,31216,109650,45427,64223,105516,55408,50108,97528,52461,45067,33057,21203,11854,53310,23324,29986,751,472,279,10410,7462,2948,7988,2947,5041,753,328,425,6135,2038,4097,154,51,103,946,530,416,7383,2700,4683,616,269,347,5868,1934,3934,96,31,65,803,466,337,605,247,358,137,59,78,267,104,163,58,20,38,143,64,79,84872,39541,45331,0,81444,0.541317790194958,1
"4142","KUDLIGI","Total",48646,255932,130784,125148,33774,17289,16485,59682,30322,29360,75329,38197,37132,148456,86961,61495,107476,43823,63653,133249,75752,57497,105739,65925,39814,50605,36790,13815,38958,17496,21462,2038,1222,816,14138,10417,3721,27510,9827,17683,3476,1442,2034,19256,5928,13328,1030,416,614,3748,2041,1707,24517,8577,15940,2674,1072,1602,17708,5374,12334,841,328,513,3294,1803,1491,2993,1250,1743,802,370,432,1548,554,994,189,88,101,454,238,216,122683,55032,67651,0,135011,0.223132314072745,1
"5581","GUNDULPET","Total",48090,194965,97094,97871,17653,8946,8707,39176,19527,19649,22291,10985,11306,101690,57657,44033,93275,39437,53838,99109,64965,34144,84890,58801,26089,30284,25504,4780,40675,23000,17675,1710,1095,615,12221,9202,3019,14219,6164,8055,1324,591,733,10149,4223,5926,434,153,281,2312,1197,1115,12929,5610,7319,1203,553,650,9565,3923,5642,245,118,127,1916,1016,900,1290,554,736,121,38,83,584,300,284,189,35,154,396,181,215,95856,32129,63727,0,61467,0.378998406852697,1
"5742","CHAMARAJA NAGAR","Total",70488,287924,143772,144152,27222,13982,13240,72202,36377,35825,29956,14535,15421,146449,81102,65347,141475,62670,78805,137517,93847,43670,107281,78073,29208,29358,25695,3663,53645,34566,19079,2756,1668,1088,21522,16144,5378,30236,15774,14462,2525,1161,1364,18842,9490,9352,1308,600,708,7561,4523,3038,27270,14379,12891,2258,1080,1178,17390,8798,8592,1111,529,582,6511,3972,2539,2966,1395,1571,267,81,186,1452,692,760,197,71,126,1050,551,499,150407,49925,100482,0,102158,0.408942521959248,1
"5929","YELANDUR","Total",16840,73290,36787,36503,7192,3697,3495,26938,13671,13267,11169,5567,5602,39647,21684,17963,33643,15103,18540,31668,22783,8885,21775,16834,4941,4534,4220,314,9815,6990,2825,684,401,283,6742,5223,1519,9893,5949,3944,581,413,168,6574,3742,2832,362,193,169,2376,1601,775,8474,5144,3330,546,388,158,6006,3515,2491,256,114,142,1666,1127,539,1419,805,614,35,25,10,568,227,341,106,79,27,710,474,236,41622,14004,27618,0,38107,0.236929583199753,1
"5960","KOLLEGAL","Total",68719,289638,147231,142407,30536,15656,14880,83334,42311,41023,33018,16662,16356,154474,87466,67008,135164,59765,75399,146099,91852,54247,109585,73667,35918,37373,28148,9225,44320,25143,19177,2498,1269,1229,25394,19107,6287,36514,18185,18329,4120,2027,2093,22541,10514,12027,1179,359,820,8674,5285,3389,32665,16360,16305,3923,1958,1965,20793,9717,11076,998,302,696,6951,4383,2568,3849,1825,2024,197,69,128,1748,797,951,181,57,124,1723,902,821,143539,55379,88160,0,116352,0.389872824401912,1
"6102","GOWRIBIDANUR","Total",59994,253052,128180,124872,26341,13483,12858,66727,33762,32965,40977,20619,20358,153851,87477,66374,99201,40703,58498,137685,78858,58827,106839,66347,40492,42944,29134,13810,37738,18261,19477,2530,1388,1142,23627,17564,6063,30846,12511,18335,3364,1532,1832,19777,7074,12703,1368,539,829,6337,3366,2971,27619,11053,16566,3078,1390,1688,18166,6450,11716,1025,423,602,5350,2790,2560,3227,1458,1769,286,142,144,1611,624,987,343,116,227,987,576,411,115367,49322,66045,1,107704,0.283264587982528,1
"6344","CHIKKABALLAPUR","Total",32312,148884,76725,72159,15668,8081,7587,45400,23113,22287,16488,8345,8143,92546,53503,39043,56338,23222,33116,79351,46538,32813,66857,41871,24986,28018,19202,8816,22250,11344,10906,885,514,371,15704,10811,4893,12494,4667,7827,2263,674,1589,6786,2481,4305,570,163,407,2875,1349,1526,10804,4060,6744,2092,612,1480,6052,2215,3837,396,115,281,2264,1118,1146,1690,607,1083,171,62,109,734,266,468,174,48,126,611,231,380,69533,30187,39346,1,61888,0.220582458599833,1
"6598","GUDIBANDA","Total",10721,46391,23463,22928,4674,2351,2323,12245,6167,6078,7035,3597,3438,26477,15379,11098,19914,8084,11830,26806,14557,12249,21534,12404,9130,11702,7239,4463,7013,3250,3763,368,124,244,2451,1791,660,5272,2153,3119,1136,445,691,3554,1377,2177,124,33,91,458,298,160,4845,1954,2891,930,346,584,3423,1334,2089,108,24,84,384,250,134,427,199,228,206,99,107,131,43,88,16,9,7,74,48,26,19585,8906,10679,1,19280,0.274236842977889,1
"6706","BAGEPALLY","Total",37955,156487,79002,77485,16402,8408,7994,44845,22756,22089,28423,14282,14141,82223,48300,33923,74264,30702,43562,87084,48929,38155,71320,43257,28063,36960,23561,13399,22215,10837,11378,742,527,215,11403,8332,3071,15764,5672,10092,2919,1045,1874,9799,2940,6859,250,92,158,2796,1595,1201,13363,4483,8880,2514,858,1656,8734,2481,6253,193,66,127,1922,1078,844,2401,1189,1212,405,187,218,1065,459,606,57,26,31,874,517,357,69403,30073,39330,1,73268,0.419245968870191,1
"6938","SIDLAGHATTA","Total",34613,163010,82872,80138,17200,8775,8425,43402,21818,21584,18376,9308,9068,99204,57079,42125,63806,25793,38013,84229,51235,32994,74220,47445,26775,29545,20797,8748,24200,12683,11517,1388,872,516,19087,13093,5994,10009,3790,6219,1511,446,1065,4864,1626,3238,478,162,316,3156,1556,1600,8882,3271,5611,1287,371,916,4567,1502,3065,413,138,275,2615,1260,1355,1127,519,608,224,75,149,297,124,173,65,24,41,541,296,245,78781,31637,47144,1,61778,0.208850893275586,1
