Block_Name,District,Year,Schools
AFZALPUR,GULBARGA,2005,168
ALAND,GULBARGA,2005,269
ALUR,HASSAN,2005,205
ANKOLA,UTTARA KANNADA,2005,167
ARAKALAGUDU,HASSAN,2005,360
ARASIKERE,HASSAN,2005,481
ATHANI,BELGAUM CHIKKODI,2005,442
AURAD,BIDAR,2005,267
BADAMI,BAGALKOT,2005,264
BAGALKOT,BAGALKOT,2005,180
BAGEPALLY,CHIKKABALLAPURA,2005,346
BAILHONGAL,BELGAUM,2005,243
BANGARAPETE,KOLAR,2005,540
BANTWAL,DAKSHINA KANNADA,2005,277
BASAVAKALYAN,BIDAR,2005,260
BASAVAN  BAGEWADI,BIJAPUR,2005,306
BELGAUM CITY,BELGAUM,2005,200
BELGAUM RURAL.,BELGAUM,2005,310
BELTHANGADY,DAKSHINA KANNADA,2005,217
BELUR,HASSAN,2005,358
BHADRAVATI,SHIMOGA,2005,353
BHALKI,BIDAR,2005,219
BHATKAL,UTTARA KANNADA,2005,180
BIDAR,BIDAR,2005,329
BILAGI,BAGALKOT,2005,129
BYADAGI,HAVERI,2005,113
CHALLAKERE,CHITRADURGA,2005,389
CHAMARAJA NAGAR,CHAMARAJANAGARA,2005,381
CHANNAGIRI,DAVANAGERE,2005,331
CHANNAPATNA,RAMANAGARA,2005,281
CHANNARAYAPATNA,HASSAN,2005,472
CHIKKABALLAPUR,CHIKKABALLAPURA,2005,287
CHIKMAGALUR,CHIKKAMANGALORE,2005,422
CHIKNAYAKANHALLI,TUMKUR,2005,360
CHIKODI,BELGAUM CHIKKODI,2005,288
CHINCHOLI,GULBARGA,2005,256
CHINTAMANI,CHIKKABALLAPURA,2005,435
CHITRADURGA,CHITRADURGA,2005,391
CHITTAPUR,GULBARGA,2005,320
DAVANAGERE(N),DAVANAGERE,2005,234
DAVANAGERE(S),DAVANAGERE,2005,266
DEVADURGA,RAICHUR,2005,245
DEVANAHALLI,BANGALORE RURAL,2005,255
DHARWAD,DHARWAD,2005,299
DODDABALLAPURA,BANGALORE RURAL,2005,410
GANGAVATHI,KOPPAL,2005,377
GOKAK,BELGAUM CHIKKODI,2005,423
GOWRIBIDANUR,CHIKKABALLAPURA,2005,363
GUBBI,TUMKUR,2005,437
GUDIBANDA,CHIKKABALLAPURA,2005,111
GUNDULPET,CHAMARAJANAGARA,2005,273
H.D.KOTE,MYSORE,2005,348
HADAGALI,BELLARY,2005,166
HAGARIBOMMANAHALLI,BELLARY,2005,148
HALIYAL,UTTARA KANNADA SIRSI,2005,176
HANAGAL,HAVERI,2005,238
HARAPANAHALLI,DAVANAGERE,2005,298
HARIHARA,DAVANAGERE,2005,207
HASSAN,HASSAN,2005,536
HAVERI,HAVERI,2005,183
HIREKERUR,HAVERI,2005,205
HIRIYUR,CHITRADURGA,2005,325
HOLALKERE,CHITRADURGA,2005,259
HOLENARASIPURA,HASSAN,2005,290
HONNALI,DAVANAGERE,2005,234
HONNAVAR,UTTARA KANNADA,2005,298
HOSADURGA,CHITRADURGA,2005,335
HOSAKOTE,BANGALORE RURAL,2005,320
HOSANAGAR,SHIMOGA,2005,242
HOSPET,BELLARY,2005,276
HUBLI,DHARWAD,2005,333
HUKKERI,BELGAUM CHIKKODI,2005,285
HUMNABAD,BIDAR,2005,236
HUNAGUND,BAGALKOT,2005,264
HUNSUR,MYSORE,2005,312
INDI,BIJAPUR,2005,424
JAMAKHANDI,BAGALKOT,2005,306
