Variables,Old,New,p-value
Total Marks,294.76,310.09,0.17
Rural/Urban (rural = 1),0.91,0.93,0.42
Working Days,102.54,101.74,0.93
Academic Inspection,0.49,0.31,0.09
School Dev Grant - R,2553.79,2639.48,0.8
School Dev Grant - E,1290.19,1308.79,0.93
TLM Grant - R,4092.61,3856.91,0.63
TLM Grant - E,1872.09,1691.38,0.56
Classrooms,3.61,3.25,0.16
Electricity (Yes = 1),0.53,0.5,0.65
Library  (Yes = 1),0.77,0.75,0.63
PlayGround  (Yes = 1),0.48,0.49,0.85
Male teachers,2.01,2,0.96
Female teachers,1.85,1.4,0.02
Grad teachers,26.33,25.85,0.95
ProfQ teachers,3.49,3.05,0.05
Days_non teaching activity,1.5,2.48,0.35
Public Schools (\%),0.9,0.9,0.99
Households,47435.07,46546,0.89
Total Population,252924.21,240437.45,0.71
Population 0 - 6,36703.36,35362.36,0.83
Literates,131615.64,107460.73,0.19
Total W Population,115871.07,119639,0.8
SC/ST Population,75410.36,75797.55,0.97
No of Schools in Taluk,332.86,333.09,1
Schools per 1000 people,1.36,1.51,0.41
New/Old Dist (New = 1),0,1,-
\# of Observations,14,11,-
