Variables,Old,New,p-value
Total Marks,294.76,310.97,0.17
Rural/Urban (rural = 1),0.91,0.92,0.58
Working Days,102.54,101.14,0.88
Academic Inspection,0.49,0.33,0.14
School Dev Grant - R,2553.79,2684.07,0.73
School Dev Grant - E,1290.19,1262.95,0.91
TLM Grant - R,4092.61,3888.06,0.69
TLM Grant - E,1872.09,1644.43,0.48
Classrooms,3.61,3.27,0.22
Electricity (Yes = 1),0.53,0.52,0.81
Library  (Yes = 1),0.77,0.74,0.56
PlayGround  (Yes = 1),0.48,0.51,0.73
Male teachers,2.01,2.03,0.93
Female teachers,1.85,1.42,0.03
Grad teachers,26.33,26.05,0.97
ProfQ teachers,3.49,3.1,0.08
Days_non teaching activity,1.5,2.3,0.46
Public Schools (\%),0.9,0.91,0.8
Households,47435.07,47533.8,0.99
Total Population,252924.21,247512.3,0.88
Population 0 - 6,36703.36,36719.4,1
Literates,131615.64,110726.4,0.26
Total W Population,115871.07,122404.1,0.68
SC/ST Population,75410.36,76238.4,0.95
No of Schools in Taluk,332.86,331.8,0.98
Schools per 1000 people,1.36,1.45,0.6
New/Old Dist (New = 1),0,1,-
\# of Observations,14,10,-
