"","taluk","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","acyear","Public","Split"
"1","AFZALPUR",0.5,25.75,0,500,500,0,0,0.5,1,0.75,0.25,0.75,0.75,2.75,251,3.5,0,0,1,0.75,1
"2","ALUR",0,47,0.5,2000,2000,0,0,3.5,1,1,1,1,0.5,4.5,3,4,0,0,1,0.5,0
"3","ARAKALAGUDU",0,62.3333333333333,0,0,0,0,0,7.66666666666667,1,1,1,1,3.66666666666667,7,7,8.33333333333333,0,0,1,0,0
"4","ARASIKERE",1,76,3,0,0,0,0,4.75,1,1,0.5,0.75,3.25,4.25,2.75,5.75,0,0,1,0.5,0
"5","ATHANI",0.6,129.5,0.2,0,0,400,0,9.6,1,0.9,0.7,0.9,4.8,5.3,5.1,8.3,0,0,1,0.6,0
"6","AURAD",1,99.2,1.6,1600,1600,1000,1000,6.8,1,0.6,0.8,0.4,5.6,0.8,0.8,6.2,0,0,1,0.6,0
"7","BADAMI",0,50,0.5,2000,2000,3500,1250,2.5,1,1,0,0.5,3,3,1,6,0,0,1,1,0
"8","BAGALKOT",0.428571428571429,74,1.14285714285714,0,0,0,0,7.42857142857143,1,1,0.714285714285714,0.857142857142857,4.28571428571429,4.71428571428571,292.714285714286,8.42857142857143,0,0,1,0.285714285714286,0
"9","BAGEPALLY",0.8,101.6,0,1600,1000,1500,1500,9,1,0.8,1,0.8,2.2,4.6,3.6,5.6,6,0.2,1,0.4,1
"10","BAILHONGAL",0.25,0,0,0,0,0,0,0,1,1,0.25,0.75,3.5,1.25,3.5,4.75,0,0,1,0.5,0
"11","BANGARAPETE",0.523809523809524,121.047619047619,0.857142857142857,761.904761904762,744.52380952381,1547.61904761905,1000,10.4285714285714,1,0.952380952380952,0.857142857142857,0.857142857142857,1.80952380952381,7.28571428571429,3.80952380952381,8.33333333333333,2.85714285714286,0.666666666666667,1,0.19047619047619,1
"12","BANTWAL",0.333333333333333,99,0.333333333333333,0,0,0,0,14,1,1,1,1,2,4,3.66666666666667,5.66666666666667,0,0,1,0,0
"13","BASAVAKALYAN",0.5,50.25,0,0,0,0,0,4.25,1,1,0.75,0.75,9.25,2.75,9.75,12,0,0,1,0.5,0
"14","BASAVAN  BAGEWADI",1,131,0.75,3000,1500,4500,2000,5.25,1,1,0.75,1,5,4,4,9,0,0,1,0.75,0
