Column1,sslccode,talukcode,schoolname,address1,address2,address3,address4,pincode,management,urban,taluk,dist
1,RR0322,RR02,SRI GOPALAKRISHNA HIGH SCHOOL,MUDAGAL,LINGASAGUR TQ,RAICHUR DIST,,584125,U,U,LINGASUGUR,RAICHUR
2,RR0323,RR01,SRI MORARJI DESAI MODEL RES SCHOOL,GABBUR,DEVDURGA TQ,RAICHUR  DIST,,NA,U,U,DEVADURGA,RAICHUR
3,DA0240,DA01,SRI VIVEKANANDA RURAL HIGH SCHOOL,MOODLA PANNI,KORATAGERE,MADHUGIRI EDN. DIST,TUMAKURU DIST,572129,U,U,KORATAGERE,TUMKUR MADHUGIRI
4,RR0324,RR01,GOVT HIGH SCHOOL,SOMANAMARADI,H SIDDAPURA POST,"DEVADURGA TQ, RAICHUR DIST",,NA,G,R,DEVADURGA,RAICHUR
5,RR0325,RR04,SRI MORARJI DESAI MODEL RES SCHOOL,SINGANODI,RAICHUR TQ,RAICHUR DIST,,584102,G,R,RAICHUR,RAICHUR
6,RA0217,RA03,SRI MORAJI DESAI RES SCHOOL,(BCM) KATAPURA,KUSTAGI TQ,KOPPAL DIST,,584114,G,R,KUSTAGI,KOPPAL
7,DA0241,DA01,MORARJI DESAI MODEL RESI SCHOOL,REDDY KATTE BARE,"HOLAVANAHALLI POST,","KORATAGERE TQ, MADHUGIRI EDN. DIST",TUMAKURU DIST,NA,G,R,KORATAGERE,TUMKUR MADHUGIRI
8,RA0218,RA01,SRI MORARAJI DESAI ENG MED RES SCHOOL,(MINORITY) HIREBENEKALLA,GANGAVATI TQ,KOPPAL DIST,,583227,G,R,GANGAVATHI,KOPPAL
9,RA0219,RA04,SRI MORARJI DESAI RES SCHOOL,(BCM) BEWOOR,YALBURGA TQ,KOPPAL DIST,,583236,G,R,YELBURGA,KOPPAL
10,DA0242,DA04,ARUNODAYA HIGH SCHOOL,LAKKANAHALLI SIRA TQ.,MADHUGIRI EDN. DIST,,TUMAKURU DIST,572113,U,R,SIRA,TUMKUR MADHUGIRI
11,RA0220,RA04,SRI MORARJI DESAI RES SCHOOL,(ST) HIREVANKALAKUNTA,YALBURGA TQ,KOPPAL DIST,,583287,G,R,YELBURGA,KOPPAL
12,RA0221,RA04,SRI MORARJI DESAI ENG MED RES SCHOOL,(MINORITY),TALKAL YALBURGA TQ,KOPPAL DIST,,583231,G,R,YELBURGA,KOPPAL
13,DA0243,DA04,SHANTHINIKETHANA HIGH SCHOOL,PATTANAYAKANAHALLI,SIRA TQ.,MADHUGIRI EDN DIST,TUMAKURU DIST,572135,U,R,SIRA,TUMKUR MADHUGIRI
14,RA0222,RA04,BAPUJI HIGH SCHOOL,MANGALURU,YALBURGA TQ,KOPPAL DIST,,583230,U,R,YELBURGA,KOPPAL
15,RA0223,RA01,SRI MORARJI DESAI MODEL RES SCHOOL,KANAKAGIRI,GANGAVATI TQ,KOPPAL DIST,,NA,G,R,GANGAVATHI,KOPPAL
16,DA0244,DA02,SRI MORARJI DESAI MODEL RESI SCHOOL,BADAVANAHALLI,MUDHUGIRI TQ.,MUDHUGIRI EDN. DIST,TUMAKURU DIST,572112,G,R,MADHUGIRI,TUMKUR MADHUGIRI
17,QA0153,QA02,GOVERNMENT HIGH SCHOOL,GUNDAGURTHI,SHAHAPURA TQ,YADGIR DIST,,585319,G,R,SHAHAPUR,YADAGIRI
18,QA0154,QA03,SRI MORARJI DESAI RES SCHOOL,KODEKAL,SHORAPURA TQ,YADGIR DIST,,NA,G,R,SHORAPUR,YADAGIRI
19,DA0245,DA03,SRI SRINGERI SARASWATHI HIGH SCHOOL,RAIN GAUGE EXTN.,PAVAGADA,MADHUGIRI EDN. DIST,TUMAKURU DIST,NA,U,U,PAVAGADA,TUMKUR MADHUGIRI
20,QA0155,QA04,SRI MORARJI DESAI MODEL RES SCHOOL,KONKAL,YADGIR TQ,YADGIR DIST,,NA,G,R,YADGIR,YADAGIRI
21,QA0156,QA03,BASAVANA GOWDA NANDANAGOWDA PATIL MEMO H S,HUNASAGI,SHORAPURA TQ,YADGIR DIST,,NA,U,R,SHORAPUR,YADAGIRI
22,CA0239,CA04,MORARJI DESAI MODEL HIGH SCHOOL,VIDYANAGAR,GOWRIBIDANUR,CHICKABALLAPURA DIST,,561208,G,U,GOWRIBIDANUR,CHIKKABALLAPURA
