"","Group.1","sslccode","taluk","dist","Marks1","Marks2","Marks3","Marks4","Marks5","Marks6","Total","Result","Year"
"1","AFZALPUR",NA,NA,NA,59.4778044299373,36.8648977838895,56.2195715543732,35.527191765049,38.7791878406318,49.7201660855464,276.588819459427,NA,2005
"2","ALAND",NA,NA,NA,65.4977263592018,36.7579247808258,57.5687182648871,41.0739469157266,41.3907127093689,52.9655401324524,295.254569162463,NA,2005
"3","ALUR",NA,NA,NA,79.3852937624631,36.4877263879004,52.1174037553237,34.8794352716472,42.5073386007779,51.0807734334671,296.457971211579,NA,2005
"4","ANEKAL",NA,NA,NA,73.9888946351025,48.6709198746443,56.2996934351893,38.9182601152775,42.2287220438541,50.6120476818733,310.718537785941,NA,2005
"5","ANKOLA",NA,NA,NA,75.1944894010567,43.2166203628175,63.8225005059209,41.7990777056383,46.676079898805,55.1199010818882,325.828668956127,NA,2005
"6","ARKALGUD",NA,NA,NA,73.9378326763158,41.8898092232024,52.479553039258,42.66002976515,49.7239515867917,56.1790955390894,316.870271829807,NA,2005
"7","ARSIKERE",NA,NA,NA,76.1838431649073,37.436633551044,51.9377444588488,36.9459319480576,43.1555598117039,51.9214751113496,297.581188045911,NA,2005
"8","ATHANI",NA,NA,NA,75.4729864189738,48.3131244657275,68.5336628761909,47.5718069397893,55.1239533754619,67.4487284235137,362.464262499657,NA,2005
"9","AURAD",NA,NA,NA,62.2234086429902,33.3996785243984,51.0356370599409,38.0241560592876,39.5702811096178,46.7551668279958,271.008328224231,NA,2005
"10","BADAMI",NA,NA,NA,72.9607350164298,51.4353530369694,65.9453686089767,50.7199587573522,58.7137040863955,72.392906480838,372.168025986962,NA,2005
"11","BAGALKOT",NA,NA,NA,63.7274233394523,39.5877103611369,55.4606592209219,35.8589002289762,44.6007565621409,53.9421513171275,295.407775110994,NA,2005
"12","BAGEPALLY",NA,NA,NA,68.9638286684026,38.3034940104509,53.1744844962406,41.7618602435895,45.5211962257005,53.4962940839748,301.221157728359,NA,2005
"13","BAILHONGAL",NA,NA,NA,78.2698878853543,53.7288679817807,69.0704599530878,56.643957465738,57.2607103487246,69.3534882249392,384.327371859625,NA,2005
"14","BANGARAPETE",NA,NA,NA,64.0183841356062,42.7677117267193,50.4980048591265,36.0131463046866,41.7703971001784,51.008922844763,286.07656697108,NA,2005
"15","BASAVAKALYAN",NA,NA,NA,60.4986210854118,31.6704699131428,48.6119688085829,35.0934369580298,34.7953957708532,43.3290228976415,253.998915433662,NA,2005
"16","BASAVAN  BAGEWADI",NA,NA,NA,68.7717618301082,39.9446495953184,62.3084021348701,38.8585220566613,47.2542854159194,58.6272820115015,315.764903044379,NA,2005
"17","BELGAUM",NA,NA,NA,72.5062869566758,44.3068910767127,55.7916573383054,46.7164745633793,51.3844316655796,55.6939738197332,326.399715420386,NA,2005
"18","BELLARY",NA,NA,NA,65.2438982434658,45.5285104806599,56.4175285508825,41.1804054676161,46.7423637794395,56.5257039378749,313.780077126606,NA,2005
"19","BELUR",NA,NA,NA,76.3458276228026,36.6824531067483,53.199308751812,35.3498741935717,41.9756832159866,48.065863693542,291.619010584463,NA,2005
"20","BHADRAVATI",NA,NA,NA,73.5651153825244,43.9422985924447,55.9153099419251,39.8312051471418,45.8940574679086,51.152695211831,312.11043883706,NA,2005
"21","BHALKI",NA,NA,NA,55.4796526779808,36.2722231741841,54.3462357273043,39.4043192505526,39.1261851864214,51.6742327747932,276.302848791236,NA,2005
"22","BHATKAL",NA,NA,NA,78.144703112621,42.7058361243597,68.4402296695761,41.9419029042236,48.572360400574,58.8257099691437,338.630742180498,NA,2005
"23","BIDAR",NA,NA,NA,56.3132259897039,41.2445192514359,59.9335120535691,40.4099713718415,43.6397367424263,52.2664679547355,293.807433363712,NA,2005
"24","BIJAPUR",NA,NA,NA,65.8584624970179,47.024950451402,61.9234246148764,46.7947409161499,51.4840743431596,61.1141601533603,334.199812975966,NA,2005
"25","BILAGI",NA,NA,NA,65.4070092906206,31.398896912016,42.9193959795204,28.1561614963892,35.5492998749367,46.1247785918893,249.555542145372,NA,2005
"26","BIRURU",NA,NA,NA,78.0381366679415,41.5123207458273,55.4947976928996,39.9347266867438,48.3563782410989,54.3055941956594,317.641954230171,NA,2005
"27","BRAHAMAVARA",NA,NA,NA,93.2359297177554,47.8119340356295,70.8565739988176,46.6897896420845,51.0234082725824,59.7439809642553,369.361616631125,NA,2005
"28","BYADAGI",NA,NA,NA,76.0632222553137,48.3597719447279,63.0477458501251,48.5512946451815,61.1689193218104,67.0395117944001,364.230465811559,NA,2005
"29","BYNDOOR",NA,NA,NA,86.9431405964926,43.3494871209833,63.7016248749278,41.3224987981012,46.4605483067801,55.3376647222106,337.114964419496,NA,2005
"30","CHADACHAN",NA,NA,NA,69.795917681599,46.0452813364316,69.8245997629504,50.1501987553108,56.5253840823791,65.7301320957663,358.071513714437,NA,2005
